race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
0,20,57,1,12,5.010635,2.014903,1,0,0
1,0,21,0,12,5.857933,2.302585,0,1,0
1,0,54,0,14,6.214608,4.248495,0,0,1
1,0,34,0,12,6.390492,2.74084,0,1,0
1,40,25,0,14,6.001415,2.312536,1,0,0
0,40,37,0,12,6.684612,2.995732,0,0,1
0,40,34,0,12,6.040255,2.351375,0,1,0
1,30,30,1,7.5,5.416101,2.014903,0,1,0
1,40,31,0,10,5.768321,2.079442,0,1,0
1,35,43,0,2.5,5.634789,2.079442,0,1,0
1,40,67,0,16,6.927558,3.238678,0,0,1
1,40,50,0,12,7.047517,3.218876,1,0,0
1,35,43,0,14,6.194406,2.639057,1,0,0
1,20,18,1,14,5.298317,2.302585,0,1,0
1,0,48,0,14,6.39693,2.70805,0,1,0
0,52,59,0,14,6.841616,2.890372,0,0,1
1,12,15,1,9,4.60517,1.609438,0,1,0
1,30,59,1,12,5.598422,2.197225,1,0,0
1,40,49,0,12,5.991465,2.302585,0,0,1
1,0,61,0,14,6.64539,3.068983,1,0,0
1,40,38,0,12,6.173786,2.484907,0,1,0
1,0,52,0,16,6.926803,2.839078,0,1,0
1,0,43,1,12,6.64539,2.995732,0,1,0
1,40,27,0,14,6.213808,2.386007,0,0,1
1,0,50,0,11,6.327937,2.639057,1,0,0
1,40,44,0,12,7.313221,3.178054,1,0,0
1,40,33,0,14,6.504288,2.674149,1,0,0
1,32,34,1,12,5.682763,2.217027,1,0,0
1,40,31,0,12,6.253829,2.564949,0,1,0
1,6,82,1,12,4.430817,2.639057,1,0,0
1,0,57,0,12,7.456316,3.392829,1,0,0
1,40,52,0,16,7.244227,3.555348,1,0,0
1,40,25,0,12,7.003066,3.314186,1,0,0
1,0,34,0,16,7.01661,2.917771,0,1,0
1,0,29,0,18,6.907755,3.091043,0,1,0
1,40,42,0,12,6.234411,2.545531,0,1,0
1,40,63,0,7.5,6.104793,2.415914,0,0,1
1,0,45,0,12,7.050851,2.70805,0,1,0
1,40,25,0,12,5.940171,2.251292,0,1,0
1,0,66,1,14,4.094345,2.484907,0,0,1
1,0,55,0,12,6.802395,3.044523,1,0,0
1,0,15,1,7.5,4.094345,2.079442,0,1,0
1,40,63,0,12,6.946976,3.258096,1,0,0
1,0,56,0,12,6.827629,2.525729,1,0,0
1,0,27,0,14,6.133398,2.772589,0,1,0
1,40,52,0,12,6.363028,2.674149,0,0,1
1,10,25,1,10,5.010635,2.70805,0,1,0
1,35,18,1,11,5.536349,1.981001,0,1,0
1,0,72,1,14,5.521461,2.564949,0,0,1
1,0,61,0,12,7.456316,3.555348,1,0,0
1,8,20,1,12,4.584968,2.505526,0,1,0
1,30,21,1,12,5.596197,2.195,0,1,0
1,50,57,0,12,7.313221,3.401197,1,0,0
1,55,30,0,12,6.893808,2.886475,1,0,0
1,40,31,0,14,6.349139,2.660259,1,0,0
1,40,29,0,16,6.684612,2.995732,1,0,0
1,40,32,0,14,6.684612,2.995732,1,0,0
1,40,62,0,16,7.967145,3.465736,1,0,0
1,0,48,0,14,6.665187,2.747912,0,0,1
1,30,60,1,14,7.444249,4.043051,1,0,0
1,0,58,1,12,5.298317,3.044523,1,0,0
1,0,22,1,14,4.49981,1.981001,0,1,0
1,12,34,1,18,5.65291,3.168004,1,0,0
1,0,45,1,14,5.886104,2.484907,1,0,0
1,38,22,0,14,6.012492,2.374906,0,1,0
1,10,21,1,14,4.283587,1.981001,0,1,0
1,10,18,1,12,4.283587,1.981001,0,1,0
0,25,46,1,14,5.926926,2.70805,0,0,1
1,0,24,0,12,5.585374,2.266958,0,1,0
1,12,51,1,12,4.891852,2.406945,1,0,0
1,40,49,0,12,6.84588,2.847812,1,0,0
1,12,16,1,10,4.787492,2.302585,0,1,0
1,40,51,0,14,6.194406,2.302585,1,0,0
1,40,57,0,12,6.536692,2.70805,1,0,0
1,32,33,1,14,5.768321,2.302585,1,0,0
1,40,36,0,12,6.894873,3.205993,1,0,0
1,0,32,0,18,6.39693,2.989714,1,0,0
1,0,52,0,14,6.39693,2.890372,1,0,0
1,16,18,1,14,4.75359,1.981001,0,1,0
1,40,49,0,12,7.047517,3.358638,0,0,1
1,38,22,0,14,6.013715,1.704748,0,1,0
1,40,26,0,16,6.464105,2.668616,0,1,0
1,0,21,0,12,5.703783,2.651833,0,1,0
1,0,22,0,12,6.214608,2.793004,0,1,0
1,40,60,0,16,6.39693,2.70805,0,0,1
1,40,26,0,16,6.461468,2.772589,0,1,0
1,40,23,0,16,6.522093,2.833213,0,1,0
1,40,53,0,14,6.684612,2.995732,1,0,0
1,40,37,0,12,6.824374,3.135494,0,0,1
1,36,34,0,12,5.543614,1.960095,0,0,1
1,0,63,1,14,6.136647,2.674149,1,0,0
1,39,62,0,16,6.008248,2.344686,1,0,0
0,40,45,0,12,6.917706,3.218876,0,1,0
0,20,25,1,12,5.393628,2.397895,0,1,0
1,35,20,0,9,5.603041,2.047693,0,1,0
0,0,47,0,12,5.726848,3.135494,0,0,1
1,0,30,1,18,7.130899,3.113515,0,1,0
0,40,42,0,14,7.313221,3.624341,1,0,0
0,40,48,0,16,6.040255,2.351375,1,0,0
1,40,29,0,14,6.086775,2.397895,0,0,1
0,0,60,0,12,6.357704,2.70805,0,0,1
1,40,36,0,12,6.327937,2.639057,1,0,0
1,0,67,0,18,7.130899,3.48124,0,0,1
1,40,31,0,10,6.901737,3.212858,1,0,0
1,40,34,0,9,6.39693,2.70805,1,0,0
1,38,45,0,14,6.122493,2.484907,0,1,0
1,0,53,0,9,5.991465,2.302585,0,0,1
1,0,46,0,12,7.130899,2.80336,1,0,0
1,0,46,0,18,6.717708,3.433987,1,0,0
1,40,24,0,14,6.180886,2.443216,0,1,0
1,0,47,0,16,7.130899,3.433987,1,0,0
0,40,23,0,14,6.214608,2.525729,0,1,0
0,0,28,0,12,5.768321,2.463853,0,0,1
0,40,54,0,14,6.633318,2.944439,1,0,0
0,40,64,0,10,6.254598,2.565718,1,0,0
1,55,50,0,14,7.098376,3.091043,1,0,0
1,40,44,0,16,6.428105,2.68444,1,0,0
0,40,57,0,12,6.39693,2.70805,0,0,1
1,0,45,0,14,6.39693,2.727853,1,0,0
1,0,24,1,14,4.828314,2.302585,0,1,0
1,40,31,0,12,7.649693,2.890372,1,0,0
1,40,38,0,14,6.996864,3.307985,1,0,0
1,25,21,1,12,5.387929,2.169054,0,1,0
1,0,20,0,14,6.39693,2.833213,0,1,0
1,40,68,0,12,6.327937,2.639057,0,0,1
1,40,21,0,12,6.39693,2.995732,0,1,0
1,0,42,0,14,6.907755,2.639057,1,0,0
0,40,52,0,12,6.946976,3.258096,1,0,0
0,32,26,1,14,5.446737,1.981001,0,1,0
0,40,27,0,16,6.345636,2.639057,0,1,0
1,40,69,0,14,6.173786,2.484907,1,0,0
0,40,28,0,14,6.946976,3.258096,0,1,0
1,0,53,0,12,6.740697,2.862201,0,0,1
1,0,47,0,14,7.338537,3.295837,1,0,0
1,40,49,0,12,7.108572,3.419692,1,0,0
1,25,48,1,14,5.416101,2.197225,1,0,0
1,30,24,1,14,5.541264,2.140066,0,1,0
1,0,24,0,12,5.616771,1.981001,1,0,0
1,45,50,0,12,7.138867,3.332205,1,0,0
0,0,41,0,12,5.623729,2.079442,0,0,1
1,40,41,0,12,6.733402,3.044523,0,0,1
0,40,24,0,14,6.309918,2.302585,0,1,0
0,27,28,1,12,5.435903,2.140066,0,1,0
0,15,24,0,12,4.998563,2.290513,0,1,0
0,40,25,0,16,6.824374,3.135494,0,1,0
1,40,30,0,14,6.39693,2.70805,1,0,0
0,20,33,1,14,4.990433,1.9947,0,0,1
1,0,28,0,16,7.675008,3.178054,1,0,0
1,0,19,0,12,5.991465,2.047693,0,1,0
1,40,64,0,18,6.579251,2.890372,1,0,0
1,40,60,0,12,7.318805,3.629925,1,0,0
1,0,51,1,12,5.416101,2.420368,0,0,1
1,40,43,0,12,5.828946,2.140066,0,1,0
1,5,17,1,11,3.86073,2.251292,0,1,0
1,28,59,1,16,6.96979,3.637586,0,0,1
0,35,50,0,14,6.081077,2.525729,1,0,0
0,40,48,0,14,6.984716,3.295837,1,0,0
0,40,43,0,14,6.759673,2.983154,1,0,0
1,0,26,0,14,5.991465,2.397895,1,0,0
0,40,45,0,10,5.991465,2.302585,0,1,0
1,32,19,1,12,5.662961,2.197225,0,1,0
1,8,53,0,14,5.298317,3.218876,0,0,1
1,32,17,1,11,5.743003,2.277267,0,1,0
1,38,21,0,14,5.964864,2.327278,0,1,0
0,40,50,0,16,5.886104,2.197225,0,0,1
1,40,48,0,11,6.39693,2.70805,1,0,0
1,0,58,0,12,4.525044,2.302585,1,0,0
0,40,50,0,12,5.966147,2.277267,1,0,0
0,40,54,0,12,6.173786,2.484907,1,0,0
1,40,58,0,14,7.021441,2.773214,1,0,0
1,23,65,1,12,5.487822,2.352327,0,0,1
1,40,58,0,12,6.173786,2.484907,0,1,0
1,40,32,0,16,6.717563,2.668616,1,0,0
0,40,33,0,12,6.566391,2.877512,1,0,0
0,40,33,0,12,6.684612,1.609438,1,0,0
0,0,22,1,12,5.991465,2.564949,0,1,0
1,40,56,0,12,6.579251,2.890372,1,0,0
1,40,29,0,16,6.798833,3.109953,1,0,0
